condition,symptoms,causes,warnings,recommendations
Lupus,sle can cause a wide range of symptoms depending on the areas of the body that are affected the most common symptoms are as the symptoms of sle can be similar to a number of other conditions many of which are more common it can be difficult to diagnose if you have persistent or troublesome symptoms that you think could be caused by sle you should see your gp so they can try to determine the cause read more about thesymptoms of lupusanddiagnosing lupus symptoms of systemic lupus erythematosus sle can vary widely from person to person some people may only experience a few mild symptoms whereas others may be more severely affected even if you usually have mild symptoms sle can flare up with symptoms becoming more severe or new symptoms developing the 3 main symptoms of sle are fatigue joint pain and rashes fatigue is one of the most common symptoms of sle you may feel very tired even though you get plenty of sleep carrying out everyday tasks such as housework or office work can leave you feeling exhausted many people with sle find that fatigue is the most distressing and disruptive aspect of sle because it has a negative impact on their work and social life if you have sle you are likely to experience joint pain in your hands and feet you may find the pain changes from one set of joints to another quite quickly and is usually worse in the morning unlike some other conditions that affect the joints sle is unlikely to cause your joints to become permanently damaged or deformed many people with sle develop rashes on their skin most commonly on the face wrists and hands a rash over the cheeks and the bridge of the nose is particularly common and is known as a butterfly rash or malar rash rashes caused by sle may get better after a few days or weeks but can last longer or even be permanent rashes caused by sle can sometimes be itchy or painful and they may get worse if they are exposed to sunlight this is known as photosensitivity sle can also cause a wide range of symptoms however you re unlikely to have all of the symptoms listed below and many people with the condition will only experience the main symptoms other features of sle may include,"SLE is an autoimmune condition, which means it is caused by problems with the immune system. For reasons not yet understood, the immune system in people with SLE starts to attack and inflame healthy cells, tissue and organs. As with other more common autoimmune conditions, such asrheumatoid arthritis, it is thought a combination of genetic and environmental factors may be responsible for triggering SLE in certain people. Read more about thecauses of lupus. Systemic lupus erythematosus (SLE) is an autoimmune condition, which means it is caused by problems with the immune system. The immune system is the body’s natural defence against illness and infection. When the immune system detects the presence of an infectious agent, such as bacteria or a virus, it sends white blood cells and antibodies to attack it. In cases of SLE, antibodies released by the immune system can attack healthy tissue, cells and organs. It’s not clear exactly why this happens, although most experts think SLE has more than one cause. It has been suggested that there may be a number of genetic factors that make people more susceptible to the condition, and that it also takes one or more environmental factors to trigger SLE in those who are susceptible. Possible genetic and environmental factors are discussed in more detail below.",,"There is currently no cure for SLE, but there are different medications that can help relieve many of the symptoms and reduce the chances of organ damage. These medications include: With good levels of support from friends, family and healthcare professionals, many people with SLE are able to manage their condition effectively. Read more abouttreating lupus. There is currently no cure for systemic lupus erythematosus (SLE), but treatments that can ease the symptoms and make it easier to live with are available. In most cases, treatment will involve a combination of self-care measures and medication."
Lyme disease,many people with early symptoms of lyme disease develop a circular rash around thetick bite the rash some people may develop several rashes in different parts of their body around 1 in 3 people with lyme disease will not develop a rash some people may haveflu like symptomsin the early stages of lyme disease this can include,"Some animals can carry the bacteria that cause Lyme disease. If a tick bites the animal, it’ll become infected. The tick can then transfer the bacteria to a human by biting them. Ticks don’t jump or fly. They climb on to your clothes or skin if you brush against something they’re on. They then bite into the skin and start to feed on your blood. You’re more likely to become infected the longer the tick is attached to your skin. This means that removing them quickly is important. Ticks are very small and their bites are not painful, so you may not realise you have one attached to your skin.",,"If you have symptoms of Lyme disease, you’ll usually be givenantibiotics. If you’re prescribed antibiotics, it’s important to finish the course even if you’re feeling better. This will help to ensure all the bacteria are killed. If your symptoms are particularly severe, you may need antibiotic injections (intravenous antibiotics). Some of the antibiotics used to treat Lyme disease can make your skin more sensitive to sunlight. You should avoid prolonged exposure to the sun. You should not use sunbeds until after you have finished the treatment. In some cases, symptoms can continue after antibiotic treatment has finished. This is called post-treatment Lyme disease syndrome. There’s currently no agreement on the best treatment for this because the underlying cause is not yet clear. Be wary of internet sites offering alternative diagnostic tests and treatments for Lyme disease. These may not be supported by scientific evidence."
Lymphoedema,the main symptom of lymphoedema is swelling at first the swelling may come and go it may get worse during the day and better overnight without treatment it can get worse other symptoms in an affected body part can include if you have swelling of one leg more than the other it s important to consider other possible causes for example deep vein thrombosis dvt you should get medical advice if you re worried about dvt,Primary lymphoedema is caused by changes (mutations) in genes that develop in the lymphatic system. This means that the lymphatic system either: Primary lymphoedema usually runs in families. Not every child born to someone with the condition will develop it themselves. Secondary lymphoedema develops in people who previously had a normal lymphatic system. It’s more common than primary lymphoedema. Causes include:,,"The main treatment for lymphoedema is decongestive lymphatic therapy (DLT). DLT is not a cure, but it can help control the symptoms. There are 4 parts to DLT. These are:"
Lymphogranuloma venereum (LGV),most people with lgv don t notice any symptoms and don t know they have it so it s important to get tested if you think you re infected if you do develop symptoms you may experience you may notice some anal symptoms such as,,,"Antibiotics will treat the LGV infection. The result of the LGV test can take 3 weeks to come back, so your doctor may advise you to start treatment before the final result is available. If left untreated, LGV can cause scarring and swelling of the skin. It can also cause permanent swelling of the genitals. Rectal infection can also cause swelling and scarring resulting in the risk of long-term bowel complications. Rarely the infection may spread via the bloodstream causing inflammation of the joints or liver. To avoid passing LGV on to your partner(s) you should avoid having sex until both you and your partner have finished your treatment."
Malaria,it s important to be aware of the symptoms of malaria if you re travelling to areas where there s a high risk of the disease this means that you can get medical attention quickly symptoms are similar to those of flu and usually appear 6 to 30 days after the mosquito bite but it can sometimes take up to a year for symptoms to start the initial symptoms of malaria include these symptoms can start mild and may be difficult to identify as malaria,Malaria is caused by the Plasmodium parasite. The parasite is spread to humans through the bites of infected mosquitoes. There are 5 different types of Plasmodium parasite that cause malaria in humans. They are found in different parts of the world (but do overlap in certain areas) and vary in terms of how severe the infection can be. All malaria infections cause the same symptoms and require immediate medical attention. It’s not possible to find out which type of malaria you have from symptoms alone.,,"If you travel to an area that has malaria, you are at risk of the infection. It’s very important that you take precautions to prevent the disease and get treatment immediately if symptoms do develop. If malaria is diagnosed and treated quickly, you should fully recover. Treatment should be started as soon as possible. Treatment begins in a hospital to make sure complications don’t suddenly develop. Treatment is with tablets or capsules. If someone is very ill, treatment will be given through a drip into a vein in the arm (intravenously). Treatment for malaria can leave you feeling very tired and weak for several weeks. The type of medicine and how long you need to take it will depend on:"
Malignant brain tumour (cancerous),the symptoms of a malignant brain tumour depend on how big it is and where it is in the brain common symptoms include speak to your gp if you have persistent symptoms of a brain tumour while it s unlikely to be a tumour it s best to be sure by getting a proper diagnosis read more about thesymptoms of malignant brain tumoursanddiagnosing malignant brain tumours the symptoms of a malignant brain tumour depend on how big it is and where it is in the brain when symptoms do occur it is because the brain tumour is either putting pressure on the brain or preventing an area of the brain from functioning properly different areas of the brain control different functions so the symptoms caused by a brain tumour will depend on where the tumour is located for example a tumour affecting you may also be given medication to relieve some of the symptoms you may have as a result of your brain tumour these may include depending on your circumstances these medications may be given before after or instead of surgery,"Most malignant brain tumours are caused by a cancer that started somewhere else in the body and spread to the brain, through the bloodstream. These are known as secondary tumours. Cancers that can spread to the brain includelung cancer,breast cancer,bowel cancerandmelanoma skin cancer. Some primary malignant brain cancers (cancerous tumours that start in the brain) are caused by a previouslybenign brain tumourbecoming cancerous, but usually the exact reason why a primary tumour develops is unknown. There have been reports in the media about a possible connection between brain tumours and the radiofrequency (RF) energy emitted by mobile phones. RF energy produces heat, which can increase body temperature and damage tissue exposed to it. However, it’s thought that the amount of RF energy people are exposed to from mobile phones is too low to produce significant tissue heating or an increase in body temperature. Research is underway to establish whether RF energy has any long-term health effects, but the balance of evidence currently available suggests that it’s unlikely mobile phones cause health problems.",,"A primary malignant brain tumour needs to be treated as soon as possible, because it can spread and damage other parts of the brain and spinal cord. Surgery will usually need to be carried out to remove as much of the tumour as possible. This may be followed by radiotherapy and/orchemotherapyto kill any cancerous cells left behind and reduce the chances of the tumour regrowing. However, malignant tumours will often eventually return after treatment. If this happens, or if you have a secondary tumour, a cure isn’t usually possible and treatment can instead be used to improve symptoms and prolong life. Read more abouttreating malignant brain tumours. If you have a malignant brain tumour, you’ll usually need surgery to remove as much of it as possible. Radiotherapy and/or chemotherapy may then be used to treat any remaining cancerous tissue. The aim of this is to remove or destroy as much of the tumour as possible, ideally getting rid of the cancerous cells completely. However, this isn’t always possible and most malignant brain tumours will eventually return after treatment. If your tumour does return after treatment, or you have a secondary brain tumour (where cancer has spread to your brain from another part of your body), a cure isn’t usually possible. Treatment can instead be used to control your symptoms and prolong life. There are a number of different treatments for malignant brain tumours, and deciding on what you feel is the best treatment can be confusing. A group of different specialists called a multidisciplinary team (MDT) will be involved in your care and will recommend what they think is the best treatment option for you, but the final decision will be yours. Before visiting hospital to discuss your treatment options, you may find it useful to write a list of questions that you’d like to ask. For example, you may want to find out the advantages and disadvantages of particular treatments. If your tumour is at an advanced stage or in a difficult place in the brain, a cure may not be possible and treatment may only be able to control the cancer for a period of time. This means you will be getting the side effects of treatment without getting rid of the tumour. In this situation, it may be difficult to decide whether or not to go ahead with treatment. Talk to your doctor about what will happen if you choose not to be treated, so you can make an informed decision. If you decide not to have treatment, you will still be givenpalliative care, which will control your symptoms and make you as comfortable as possible. Problems caused by a brain tumour don’t always resolve as soon as the tumour is removed or treated. For example, some people have persistent weakness, seizures (fits), difficulty walking and speech problems. In these cases, you may need extra support to help you overcome or adapt to any problems you have. This may include therapies such as: Some people may also need to continue taking medication for seizures for a few months or more after their tumour has been treated or removed. The National Institute for Health and Care Excellence (NICE) has made recommendations on the standards of care that brain tumour patients should receive. For more information, see theservice guidance for improving outcomes for people with brain and other central nervous system tumours."
Malnutrition,malnutrition can be difficult to recognise it can happen very gradually which can make it very difficult to spot in the early stages common signs and symptoms of malnutrition include,"Sometimes, medical conditions cause your body to need more nutrients. Some medical conditions can lead to your body being unable to absorb or use nutrients. These may include: Some types and combinations of medication can increase your risk of developing malnutrition. Always check your medicines information and speak to a healthcare professional for advice if you have a concern. Do not stop taking your medication without advice from a healthcare professional. Physical, social and ageing issues can also cause malnutrition.",,"If you’ve lost weight or your appetite is poor, you can make simple changes to your meals, snacks and drinks to help treat malnutrition. Choosing nutrient-dense food and drinks can help improve your calorie intake. This might not be suitable for everyone, especially those with other conditions like dysphagia. Ask your GP, dietitian or nurse for further advice if you’re unsure. Try the following ideas to help you to increase the amount of calories and protein in your diet. If you’re using vegan alternatives to cheese, butter, cream or milk, try to choose the highest calorie option. There are ways you can use every day food and drinks to fortify (add extra nutrients to) your food. TheBritish Dietetic Association (BDA) Malnutrition factsheetprovides more useful practical advice. Watch this video on Vimeo for more tips on how to fortify your food Oral nutritional supplements (ONS) are a range of liquid and powder products that help support better nutrition. They contain calories, protein, vitamins and minerals to help increase your intake. They’re designed to be taken alongside your diet and the ‘food first’ advice above to promote progress with your weight. Depending on how severe your symptoms are, your healthcare professional might recommend a “feeding tube”. There are different types of tubes. Which one is best for you depends on your diagnosis and symptoms. The most common types of feeding tube include: Depending on your condition alternative routes of nutrition may be considered."
Measles,the first symptoms of measles develop around 10 days after you re infected these can include the measles rash appears around 2 to 4 days after the initial symptoms and normally fades after about a week the rash you should phone your gp first before visiting they can make arrangements to reduce the risk of spreading the infection to others,,,"There are things you can do to help relieve your symptoms. In severe cases, especially if there are complications, you or your child may need to be admitted to hospital for treatment."
Mechanical neck pain,mechanical neck pain most commonly affects the neck however symptoms can spread into the arm shoulder blade or into the head symptoms include,"Mechanical neck pain can occur after an injury, likewhiplash. However, many people develop it for no obvious reason. It can be caused by a number of things like: Your neck is a strong and resilient structure. Most neck pain does not cause lasting damage, as your body is very good at healing itself. In most cases you shouldn’t need to speak to a healthcare professional. Pain can also be influenced by anything that impacts general health, like: As we get older, it’s normal to have age-related changes in our neck. Often these occur with no symptoms, but, they may contribute to neck pain. The medical term for this ageing iscervical spondylosis. It’s managed in the same way as mechanical neck pain.",,"There are many things you can do to help your mechanical neck pain. Gentle exercises can help keep your neck moving. Exercises increase the blood flow to the tissues and help with healing. Exercises may be uncomfortable to start but they are safe to do. They’ll become much easier as you get movement back. Its known that being afraid of moving can worsen your pain. Any movement can be helpful. Read about exercises for neck problems Pain medication can help you move more comfortably, which can help manage your symptoms. More about taking painkillers. Using heat or ice on your neck can help reduce symptoms. Use a barrier, like a towel, to protect your skin from a burn. Never place heat or ice directly on your skin. Leave a few hours between treatments. How to avoid hot water bottle burns and scalds – Care of Burns in Scotland If you have any issues with circulation or sensation, you shouldn’t use heat or ice as a treatment for neck pain. Things that you do day-to-day can impact your pain levels. Lifestyle advice includes:"
Meningitis,symptoms of meningitis develop suddenly and can include these symptoms can appear in any order and some may not appear,"Meningitis is usually caused by a viral or bacterial infection. Viral meningitis is the most common and least serious type. Bacterial meningitis is rare but can be very serious if not treated. Several different viruses and bacteria can cause meningitis, including: A number ofmeningitis vaccinationsprovide protection against many of the infections that can cause meningitis.",,"People with suspected meningitis will usually have tests in hospital to confirm the diagnosis and check whether the condition is the result of a viral or bacterial infection. Bacterial meningitis usually needs to be treated in hospital for at least a week. Treatments include: Viral meningitis tends to get better on its own within 7 to 10 days and can often be treated at home. Getting plenty of rest and taking painkillers and anti-sickness medication can help relieve the symptoms in the meantime. Read more abouthow meningitis is treated People with suspected meningitis will usually need to have tests in hospital and may need to stay in hospital for treatment. Treatment in hospital is recommended in all cases of bacterial meningitis, as the condition can cause serious problems and requires close monitoring. Severe viral meningitis may also be treated in hospital. Treatments include: People with meningitis may need to stay in hospital for a few days, and in certain cases, treatment may be needed for several weeks. Even after going home, it may be a while before you feel completely back to normal. Additional treatment and long-term support may also be required if anycomplications of meningitisoccur, such ashearing loss. You’ll usually be able to go home from hospital if you or your child has mild meningitis and tests show it’s being caused by a viral infection. This type of meningitis will normally get better on its own without causing any serious problems. Most people feel better within 7 to 10 days. In the meantime, it can help to: Additional treatment and long-term support may be required if you or your child experience complications of meningitis. For example: You may also find it useful to get in touch with organisations such as theMeningitis Research FoundationorMeningitis Nowfor support and advice about life after meningitis."
Meniere’s disease,the symptoms and severity of m ni re s disease vary widely from person to person the main symptoms of m ni re s disease are symptoms typically last around 2 to 3 hours but it can take a day or two for the symptoms to disappear completely these symptoms usually only affect one ear at first but both ears may become affected over time other symptoms include,The exact cause of Ménière’s disease is unknown. It’s thought to be caused by a problem with pressure deep inside the ear. Factors that can increase your risk of developing Ménière’s disease include:,,"Ménière’s disease cannot be cured, but treatment can usually help your symptoms. Possible treatments include: Some people with Ménière’s disease also find that it affects their mental health. Speak to your GP practice if you’re finding it difficult to cope with the effect Ménière’s disease is having on your life. There are also support groups that can help you."
Mesothelioma,the symptoms of mesothelioma tend to develop gradually over time they typically don t appear until several decades after exposure to asbestos symptoms of mesothelioma in the lining of the lungs include symptoms of mesothelioma in the lining of the tummy include speak to your gp if you have any persistent or worrying symptoms tell them about any exposure to asbestos you may have had in the past,"Mesothelioma is almost always caused by exposure to asbestos, a group of minerals made of microscopic fibres that used to be widely used in construction. These tiny fibres can easily get in the lungs, where they get stuck, damaging the lungs over time. It usually takes a while for this to cause any obvious problems, with mesothelioma typically developing more than 20 years after exposure to asbestos. The use of asbestos was completely banned in 1999, so the risk of exposure is much lower nowadays. However, materials containing asbestos are still found in many older buildings.",,"The best treatment for mesothelioma depends on several factors, including how far the cancer has spread and your general health. As mesothelioma is often diagnosed at an advanced stage, treatment is usually focused on controlling the symptoms and prolonging life for as long as possible. This is known aspalliative or supportive care. Possible treatments include: You’ll also probably have treatment for your individual symptoms to help you feel as comfortable as possible. For example, regularly draining fluid from your chest may help your breathing and strong painkillers may help relieve your pain. Sometimes, a procedure is carried out to stop the fluid coming back again by making the outside of the lungs stick to the inside of your chest (pleurodesis), or a tube is put in your chest to drain the fluid regularly at home. Your doctors should discuss these treatments with you."
Middle ear infection (otitis media),the main symptoms of a middle ear infection include in some cases a hole may develop in the eardrum perforated eardrum and pus may run out of the ear the earache which is caused by the build up of fluid stretching the eardrum then resolves young children and babies with an ear infection may also,"Most middle ear infections occur when an infection, such as acold, leads to a build-up of mucus in the middle ear. This causes the Eustachian tube (a thin tube that runs from the middle ear to the back of the nose) to become swollen or blocked. The mucus can’t drain away properly, making it easier for an infection to spread into the middle ear. An enlarged adenoid (soft tissue at the back of the throat) can also block the Eustachian tube. The adenoid can be removed if it often causes ear infections. Middle ear infections are more common in younger children because: Certain conditions can also increase the risk of middle ear infections, including:",,"Most ear infections get better on their own within 3 to 5 days and do not need any specific treatment. If needed,paracetamoloribuprofencan be used to relieve pain and a high temperature. Always read the leaflet that comes with your medicine before taking it. Follow the recommended dosage instructions. If you’re not sure which treatments are suitable for you or your child,speak to a pharmacistfor advice. Placing a warm cloth over the affected ear may also help relieve pain. Antibioticsare not usually used to treat middle ear infections."
Migraine,the main symptom of migraine is usually an intense headache on one side of the head in some cases the pain can occur on both sides of your head and may affect your face or neck the pain might get worse when you move and may stop you from carrying out normal activities other symptoms associated with migraine include not everyone with migraine experiences all of these symptoms some people may experience them without having aheadache the symptoms of a migraine attack usually last between 4 hours and 3 days you may feel very tired for up to a week afterwards about 1 in 3 people with migraine have temporary warning symptoms known as aura before a migraine these include aura symptoms typically develop over the course of about 5 minutes and last for up to an hour the aura might start before the headache or you might experience it at the same time as a headache some people may experience aura followed by only a mild headache or no headache at all the exact cause of migraine is unknown it s thought to be the result of abnormal brain activity temporarily affecting nerve signals chemicals and blood vessels in the brain around half of all people who have migraine have a close relative with the condition this suggests that genes may play a role it may help to keep a diary to see if you can identify a consistent trigger it can be difficult to tell if something is a trigger or if what you re experiencing is an early symptom of a migraine attack there might not always be a trigger for your headache possible migraine triggers include medication can also trigger migraine attacks for example medication like some types of sleeping tablets thecombined contraceptive pillorhormone replacement therapy hrt speak to your gp if you start to experience migraine attacks after starting to take a new medication some people crave chocolate before a migraine begins this can be a sign that you re about to have a migraine attack rather than the chocolate being the trigger for the migraine,,,
Minor head injury,minor head injuries often cause a bump or bruise other symptoms of a minor head injury may include,,,"Most people who go to hospital with a minor head injury can return home shortly afterwards. They should make a full recovery within a few days. There are some things you can do to manage minor head injuries at home. You should: It’s also recommended that you: If your child has a minor head injury, they may cry or be distressed. This is normal – with attention and reassurance most children will settle down. However, seek medical help if your child continues to be distressed despite simple measures like pain relief."
Miscarriage,miscarriage symptoms can be varied some people have very clear symptoms while others may experience none at all miscarriage signs can change depending on whether you re having anearly miscarriageor alate miscarriage an early miscarriage happens in the first 12 weeks of pregnancy most women who miscarry do so in the first 12 weeks of their pregnancy many women have a miscarriage before they even know they re pregnant if this happens it can feel like a late period with heavy bleeding read more about early miscarriages a late miscarriage happens after 12 weeks and before 24 weeks read more about late miscarriages,Most of the time there’s no clear reason why a miscarriage happens. It’s unlikely to be caused by anything you did or did not do. Read more about the causes of a miscarriage,,
Molar pregnancy,often you won t have any specific symptoms of a molar pregnancy some people do experience these symptoms can be normal in pregnancy having them does not mean there s definitely a problem with your baby however you should contact yourlocal early pregnancy unitwho can check you over,"Molar pregnancies are caused by problems with the genetic information in an egg or sperm. It’s not known what causes the problems with genetic information. There are some factors that can increase the risk of molar pregnancy. You’re more likely to have a molar pregnancy if: Even if you fit into several of these categories, it’s most likely that you’ll not have a molar pregnancy. It’s still a rare condition. You’re just a little more likely to have a molar pregnancy than those who do not fit into these categories.",,"A molar pregnancy cannot develop into a baby. There’s no way to correct the amount of genetic material in the fertilised egg. This means you’ll need to have surgery to have the pregnancy removed. Some people develop a gestational trophoblastic neoplasia (GTN) after a molar pregnancy. This is a rare, but highly curable, form of cancer. After your surgery, you’ll be registered with the Hydatidiform mole follow-up centre. This centre is within Ninewells hospital in Dundee. They’ll provide follow up appointments and monitor you for signs of GTN. They do this by checking the level of hCG (a pregnancy hormone) in your blood and urine (pee). The centre will work with your local GP to do the blood and urine tests. You’ll not need to travel to Dundee to have these tests done. It’s important that you do not become pregnant again before finishing follow-up treatment. A new pregnancy will cause your hCG levels to rise. This means the specialists cannot tell if you’ve developed GTN."
Motor neurone disease (MND),the symptoms of mnd start gradually over weeks and months they tend to appear on one side of the body first and get progressively worse there are usually 3 stages of symptoms sometimes the early symptoms are mistaken for similar conditions that also affect the nervous system as mnd becomes more advanced more parts and functions of the body are affected this can make you more likely to experience infections like chest infections which can cause your condition to get worse quicker as mnd progresses to its final phase you might experience eventually non invasive breathing assistance won t be enough to make up for the loss of normal lung function at this stage more medication can help to reduce symptoms of breathlessness and anxiety related to it most people with mnd become increasingly drowsy before falling into a deep sleep where they usually die peacefully some people with mnd have other symptoms that aren t directly caused by the condition but are related to the stress of living with it these might includedepression insomniaandanxiety,"MND occurs when specialist nerve cells (motor neurones) in the brain and spinal cord progressively fail. It’s not clear why this happens. One known cause of MND is an error in your genes with 20% of cases linked to genetic causes. Half of genetic cases will be in people who have a family history of MND. The other half of genetic cases will occur in those without a family history. Having a family history of frontotemporal dementia can also increase the risk of inheriting MND. The error in the gene affects the cells ability to perform normally and survive. If you have a genetic form of MND, there’s a chance that you could pass the risk of developing MND on to your child. The risk of them developing the condition can be affected by many factors like age. Not everyone who has the genetic mutation will develop MND in their lifetime. Typically, the longer you live, the more likely you are to develop the condition. If you have a parent with MND with no other family history of the disease, you’re at a slight increased risk of MND of about 1.4%. The risk to the general population of MND is about 0.3%. It’s unclear why the motor neurones begin to lose function. Most experts believe that it’s a combination of factors that affect either the motor neurones or the cells that support them. There are some theories involving different cell processes including:",,"Although there’s no cure for MND, there are treatments available to help relieve the symptoms. A team of healthcare professionals will work together to help care for you. This multidisciplinary team typically includes: As the conditions advances, you might also need palliative care. Riluzole is the only licensed medication in the UK that’s shown a survival benefit for people with MND. Riluzole is thought to slow down the damage to the motor neurone cells by reducing their sensitivity to the nerve transmitter glutamate. In medical research, riluzole extended survival by 2 to 3 months on average. Side effects of riluzole are usually mild and can include nausea, tiredness and, less commonly, a rapid heartbeat. Very rarely, riluzole has been known to cause liver damage. If you’re prescribed riluzole you’ll need to haveblood testsfor the first few months to check your liver is working properly. If you’ve had significant liver disease, riluzole may not be suitable for you. There are treatments available that can help relieve many of the symptoms of MND and improve your quality of life. You might be given the opportunity to take part in research, including drug trials. Your MND care specialist and neurology consultant can provide further information on this."
Mouth cancer,mouth cancer can develop on most parts of the mouth including the lips gums and occasionally the throat the most common symptoms of mouth cancer include other symptoms may include,"Mouth cancer occurs when something goes wrong with the normal cell lifecycle, causing them to grow and reproduce uncontrollably. Risk factors for developing mouth cancer include: Read more about thecauses of mouth cancer The 2 leading causes of mouth cancer in the UK are drinking too much alcohol and smoking. Both alcohol and tobacco are carcinogenic, which means they contain chemicals that can damage the DNA in cells and lead tocancer. The risk of mouth cancer increases significantly in somebody who is both a heavy smoker and heavy drinker. Exactly what triggers the changes in DNA that lead to mouth cancer and why only a small number of people develop mouth cancer is still uncertain.",,"Your treatment will depend on the type and size of the cancer, the grade and how far it’s spread – as well as your general health. If the cancer hasn’t spread beyond the mouth or the oropharynx (the bit of your throat at the back of your mouth), a complete cure may be possible using a combination of surgery, radiotherapy and chemotherapy. If the cancer has spread to other parts of the body, then a cure is unlikely but it will be possible to slow the progress of the cancer and help relieve symptoms by using surgery, radiotherapy and chemotherapy. Deciding what treatment is best for you can be difficult. Your care team will make recommendations, but the final decision will be yours. Before going to hospital to discuss your treatment options, you may find it useful to write a list of questions to ask the specialist. For example, what are the advantages and disadvantages of particular treatments. Radiotherapy makes the teeth more sensitive and vulnerable to infection so before treatment begins, you’ll be given a full dental examination and any necessary work will be carried out. If you smoke or drink, stopping will increase the chances of your treatment being successful. Your specialist nurse and your GP can provide help and support if you are finding it difficult to quit smoking and drinking. Read more aboutquitting smokingandcutting down on alcohol"
Multiple myeloma,in the early stages myeloma may not cause any symptoms it s often only suspected or diagnosed after a routine blood or urine test however myeloma will eventually cause a wide range of problems including read more about thesymptoms of multiple myeloma in the early stages multiple myeloma may not cause any symptoms or complications and may only be diagnosed after a routine blood or urine test however it will eventually cause a wide range of problems as well as the main treatments for multiple myeloma you may also need treatment to help relieve some of the problems caused by the condition for example these treatments can each cause side effects and complications so make sure you discuss the potential risks and benefits with your treatment team beforehand,"In multiple myeloma, cells inside the bone marrow called plasma cells become cancerous. Bone marrow is the spongy tissue found at the centre of some bones. It produces the body’s blood cells. Plasma cells are normally produced in a controlled way. In cases of multiple myeloma, large numbers of abnormal plasma cells are produced. These fill up the bone marrow and interfere with the production of other cells, such as red and white blood cells. The exact reason why this happens is unknown, but multiple myeloma is closely associated with a condition called monoclonal gammopathy of unknown significance (MGUS), and there are certain things that can increase your risk of developing it.",,"There is currently no cure for multiple myeloma, but treatment can often help control it for several years. Treatment will often involve: As part of your treatment, you may be asked if you want to take part in a clinical trial to help researchers develop better treatments for multiple myeloma. Read more abouttreating multiple myeloma If you have multiple myeloma, you will be cared for by a team, which is usually led by a consultant haematologist who specialises in myeloma. The team will discuss your condition and recommend the best treatment for you. However, the final decision will be yours. Before visiting hospital to discuss your treatment options, it may be useful to write a list of questions to ask the specialist. For example, you may want to find out the advantages and disadvantages of a particular treatment. There are 2 main aims in treating multiple myeloma: While treatment can often control myeloma and improve quality of life, myeloma usually can’t be cured. This means additional treatment is needed when the cancer comes back (a relapse). Not everyone diagnosed with myeloma will need immediate treatment if the condition is not causing any problems. This is sometimes referred to as asymptomatic, orsmouldering myeloma. If you don’t need treatment, you’ll be monitored for signs the cancer is beginning to cause problems. If you do need treatment, the following options are most commonly used. Further treatment is needed if myeloma returns. Treatment for relapses is generally similar to initial treatment, although non-intensive treatment is often preferred to further intensive treatment. Additional medications such as lenalidomide, pomalidomide and other chemotherapy medicines may be added, or used again as your haematologist feels is appropriate. You may also be asked if you want to participate in clinical trial research into new treatments for multiple myeloma. Lenalidomide and pomalidomide are similar to thalidomide. They’re both taken by mouth, and both can have an effect on the cells produced by your bone marrow, which can cause: They may also increase your risk of developing a blood clot and have other side effects similar to thalidomide. Let your care team know if you experience any problems or unusual symptoms while taking lenalidomide or pomalidomide."
Multiple sclerosis (MS),multiple sclerosis ms can cause a wide range of symptoms and can affect any part of the body it affects everyone differently the symptoms are unpredictable some people s symptoms develop and worsen over time while for others they come and go periods when symptoms get worse are known as relapses periods when symptoms improve or disappear are known as remissions some of the most common symptoms include,Exactly why someone develops multiple sclerosis (MS) isn’t known. It’s not caused by anything you’ve done and it’s not clear if you can prevent it. It’s likely to be partly caused by genes you inherit from your parents and partly by outside factors that may trigger the condition. Some of the factors that might cause MS include: More research will help us understand why MS occurs and whether it can be prevented or not.,,"Although there isn’t a cure for MS, there are medicines that can help to reduce the number and severity of relapses in some people. These are called disease-modifying therapies or disease modifying drugs. These reduce the amount of damage and scarring to the myelin sheath (layer surrounding your nerves), associated with MS relapses. These treatments reduce the chances of developing progressive symptoms of MS. They might also help to slow worsening disability in MS. Disease-modifying therapies are not suitable for everyone with MS. They’re only prescribed to those with either: People without relapses are less likely to benefit from the treatments and could still experience side effects from them. Sometimes an infection can cause a flare up of symptoms rather than a relapse, so your nurse or GP will check for other possible causes. Treatment for a relapse might involve a five-day course of steroid tablets taken at home. Steroids can help speed up your recovery from a relapse. They don’t prevent further relapses or stop MS getting worse over time. Steroids are only given for a short period of time to avoid possiblesteroid side effects. The side effects could include infection, mood disturbance, stomach ulceration,osteoporosis (weak bones), weight gain anddiabetes. Not using steroids more than three times a year (if possible) will help to reduce the risk of side effects. There are different treatments available for MS symptoms."
Multiple system atrophy (MSA),everyone with msa will experience different symptoms symptoms often start between the ages of 50 and 60 but they can begin anytime from the age of 30 you re likely to experience muscle control or balance problems like those ofparkinson s diseaseorataxia it s a progressive disease which means symptoms will worsen over a period of time msa can cause symptoms including someone with msa might also have,The cause of MSA is not clear. It’s not thought to be inherited. Having MSA appears to be random. It’s not because of something the person with MSA has done. It has no connection to multiple sclerosis (MS). There’s ongoing research into the possible causes of MSA.,,"There isn’t a cure for MSA and there isn’t a way of slowing its progress. As symptoms worsen, you might need help managing day to day life. Visit theMSA Trust websitefor information and support about living with MSA. They have a dedicated MSA charity nurses who can help to support you. Treatment of MSA involves a combination of medication, specialist equipment and the involvement of therapists to manage specific symptoms. It might take time to find the right combination of treatments which work best for you."
